"","mmsi","imo","length_m","beam_m","draught_change_m","draught_end_m","dwt","gt"
"1",259936000,9401556,144,64,-1.7,7.1,16628,11948
"2",312375000,9365219,70,15,5,8.4,2690,1864
"3",563038700,9813412,88,17,-2,4.5,6798,3892
"4",563034300,9812676,88,17,-2.4,4.4,6758,3898
"5",566532000,9656876,78,15,1.8,5,3606,2239
"6",259746000,9426489,100,19,-1.1,5,7348,4776
"7",240732000,8817576,80,15,-1.1,4.2,2973,1930
"8",563253500,1032957,102,19,3,7.4,7990,4903
"9",477855300,9686352,333,60,3.7,15.2,313992,166094
"10",565081000,9373577,100,18,2,7,6956,4969
"11",210412000,9448889,100,18,1.6,6.3,6379,4999
"12",235040503,9342607,101,18,1.5,5.9,7511,4292
"13",565358000,9424766,90,16,2,6,7286,4081
"14",247273700,9436692,180,32,2,9.9,42000,25918
"15",667002414,9261657,175,31,-1.3,6,40059,25443
"16",249791000,9747120,181,32,-2.3,8.3,49996,29513
"17",209987000,9382140,102,18,-1.1,5.5,6248,4599
"18",563191500,9923463,250,44,-3.6,9.5,109999,66970
"19",563175200,9941697,250,44,-4.3,8.6,109999,65145
"20",230687000,9892432,250,44,-4,8.5,112459,63532
"21",352781000,9786243,182,32,3.2,11.7,50017,29762
"22",636025095,9814155,182,32,3.3,10.6,49929,29447
"23",636020363,9884801,182,32,-2.9,9.2,50295,29725
"24",538007133,9745926,251,44,5.3,14.3,109896,62849
"25",563079600,9644940,97,17,1.7,6.2,5518,4062
"26",461000284,9321691,274,48,-1.3,7.5,158889,81409
"27",538008913,9884045,274,48,-2.3,8.2,157447,81502
"28",219028418,9484895,183,32,3.7,11.9,46184,27376
"29",369042000,9759898,183,32,2.5,11.3,49828,29801
"30",538011331,9392779,183,32,3.4,11.2,49999,29307
"31",258910000,9215294,183,32,1.4,10.1,494539,29993
"32",367688000,9244673,287,50,-8,10.4,193048,110693
"33",374380000,9758818,99,17,1.8,6,4769,4261
"34",538008844,9875719,99,17,1.1,6,4743,4241
"35",235112065,9147461,100,17,1.4,7.1,5846,3726
"36",636021695,9428865,189,32,-5.2,8,50192,30964
"37",352001148,9308168,189,32,-1.5,7,50359,30965
"38",209415000,9819052,107,18,1.2,7.1,7746,5366
"39",565843000,9374557,120,20,1.6,8,10343,9175
"40",205743000,9719305,180,30,-1.8,7.6,29543,25952
"41",538010289,9929871,180,30,-2.9,7.3,30212,26583
"42",257956000,9905916,277,46,5.4,14.7,123602,85504
"43",563265500,1051159,115,19,1.4,5.7,7999,5997
"44",244363000,9295426,115,19,-2.2,5.4,8648,5815
"45",563056100,9825037,115,19,-1.7,4.5,7996,5972
"46",565299000,9379430,110,18,2.8,7.8,9435,5153
"47",533180004,9505106,110,18,1.4,7.2,9027,5198
"48",209216000,9684108,104,17,-1.3,5.7,6346,4696
"49",209219000,9771999,105,17,1.5,7.3,6551,4690
"50",266002000,9876830,167,27,2.4,9.5,22554,18636
"51",255915978,9460241,149,24,-2.9,6.5,18561,13283
"52",256585000,9272735,118,19,-1.4,5.3,8501,5770
"53",215712000,9468528,106,17,-1.1,5.4,6065,5539
"54",215909000,9487378,100,16,-1.4,4.2,4999,3308
"55",255915980,9407976,144,23,1.4,7.9,16587,11943
"56",248940000,9444467,144,23,-2.7,6.5,17596,11472
"57",255806341,9373632,144,23,-1.9,6.2,16651,11935
"58",247373700,9321433,113,18,1.1,6.5,8084,5573
"59",566212000,9460629,113,18,-1.7,5.4,8063,5589
"60",314001065,9298416,127,20,-1.9,5.8,12984,8446
"61",563711000,9503689,115,18,-1.8,4.2,7439,4758
"62",563221400,9964546,230,36,4.6,12.7,60648,56222
"63",636021208,9918418,230,36,1.3,10.1,59738,60783
"64",374345000,9765562,230,36,-1.4,9.8,55001,48229
"65",255900000,9731781,160,25,4.2,10.1,27126,16084
"66",232006297,9766566,295,46,-1.5,9.3,94494,115366
"67",256885000,9383443,148,23,-1.8,6.5,18818,12008
"68",219015298,9372652,129,20,-2.1,6.2,11289,7315
"69",564968000,9525819,110,17,2.6,7.6,9337,5219
"70",229447000,9827724,110,17,-1.2,5.5,6631,4391
"71",219031111,9474450,130,20,1.3,6.7,11161,7244
"72",236507000,9418937,105,16,1.4,6.3,5756,3992
"73",567002240,9424704,105,16,-1.5,4.2,5470,3648
"74",212651000,9264116,106,16,1.1,6.6,4389,3977
"75",563744000,9550591,100,15,2,6,4710,2990
"76",236744000,9371787,147,22,2.9,9.3,17998,11711
"77",266473000,9297137,87,13,1.3,6.4,4514,2956
"78",256765000,9391127,88,13,-1.3,4.7,3550,2222
"79",257206000,9279410,82,12,1.6,5.3,3480,2522
"80",538011370,9228057,225,32,-3,7.1,72562,38889
"81",256929000,9362138,148,21,-1.4,6,15988,10917
"82",249475000,9433561,120,17,1.7,6.8,7051,4816
"83",249803000,9431032,122,17,1.1,6.5,7770,5803
"84",538090654,9499541,122,16,1.6,6.7,6267,4364
"85",241359000,9694658,251,45,-3.7,8.5,114264,62914
"86",636024206,1055428,150,23,-2.7,6.5,18467,11944
"87",538090715,9421221,150,23,2.6,9.2,19998,13097
